번호,제목,평점,관람 등급,장르,감독,출연진,줄거리,processed_text,키워드
181959,신데렐라:마법 반지의 비밀,6.33,전체 관람가,"['애니메이션', '판타지']",린 사우더랜드,"['사문영', '김혜성', '남도형']","새어머니와 두 언니들의 구박에도 늘 씩씩하고 당찬 신데렐라는 왕궁 무도회에 가보고 싶다는 생쥐 친구들의 소원을 들어주기 위해 무도회 참석을 결정하지만 누더기 옷 때문에 고민에 빠지고 꼬꼬마 마법사 크리스탈을 찾아가 도움을 청한다.이에 마법사 크리스탈은 신데렐라를 아름답게 치장하고, 생쥐 친구들을 화려한 황금 마차를 모는 멋진 말들로 변신시키는데…화려한 폭죽과 함께 시작된 왕궁 무도회.모두의 시선을 한눈에 사로잡을 만큼 우아하고 아름다운 여인으로 변신한 신데렐라는 왕자와 춤을 추며 무도회를 빛낸다.그러던 중 휴식을 위해 무도회장에서 잠시 벗어나 있던 신데렐라는 우연히 진짜 왕자는 마녀의 주문에 걸려 있고, 이 왕자를 구하기 위해서는 요정의 책에 전해 내려오는 전설 속 마법 반지가 필요하다는 사실을 알게 된다.진짜 왕자를 구하기 위해 무시무시한 괴물과 위험이 가득한 마법의 숲으로 환상적인 모험을 시작하는 신데렐라와 친구들.신데렐라와 친구들은 과연 위험천만한 그곳에서 사악한 마녀의 방해를 물리치고, 전설 속 마법 반지를 찾아 진짜 왕자를 구할 수 있을까?",언니 구박 소원 위해 무도회 참석 결정 누더기 고민 꼬꼬 도움 치장 황금 마차 변신 폭죽 시작 모두 시선 한눈 만큼 여인 변신 왕자 무도회 휴식 위해 무도회 잠시 진짜 왕자 주문 요정 전해 전설 마법 반지 사실 진짜 위해 괴물 위험 환상 모험 시작 친구 친구 과연 위험천만 방해 물리 전설 마법 반지 진짜,"마차, 꼬꼬, 누더기, 전설, 마법, 변신, 왕자, 진짜, 반지, 무도회"
186610,신문기자,8.16,12세 관람가,"['드라마', '서스펜스']",후지이 미치히토,"['심은경', '마츠자카 토리']",일본 열도를 발칵 뒤집을 충격적인 익명의 제보고위 관료의 석연치 않은 자살과 이를 둘러싼 가짜 뉴스쏟아지는 가짜 속에서 단 하나의 진실을 찾기 위한 취재가 시작된다,발칵 충격 익명 자살 가짜 뉴스 가짜 하나 진실 찾기 취재 시작,"하나, 충격, 진실, 찾기, 자살, 취재, 발칵, 뉴스, 익명, 가짜"
181034,신밧드와 마법 양탄자,8.33,전체 관람가,"['애니메이션', '모험', '가족']",카르스텐 킬레리치,['투레 린드하르트'],"작은 마을에서 벗어나 큰 세상을 모험하고 싶은 주인공 ‘신밧드’.옆집의 양탄자 가게 할아버지는 ‘신밧드’에게 마법 양탄자를 빌려주며, 주문을 외우면 뭐든지 할 수 있다고 얘기한다.덕분에 마법 양탄자를 타고 똑똑한 염소 ‘라야’와 함께 금으로 덮여있는 황제의 도시에 도착한 ‘신밧드’!하지만 곧 욕심 많은 황제에게 양탄자를 뺏길 위기에 놓이게 되는데…과연, 마법 양탄자와 함께 무사히 ‘다이아몬드’를 할아버지에게 데려갈 수 있을까?‘신밧드’와 함께 모두 주문을 외워 봐! ‘라아날, 자탄양’!",마을 세상 모험 주인공 옆집 양탄자 가게 할아버지 마법 양탄자 주문 얘기 덕분 마법 양탄자 타고 염소 라야 황제 도시 도착 욕심 양탄자 위기 과연 마법 양탄자 다이아몬드 할아버지 모두 주문,"덕분, 욕심, 황제, 다이아몬드, 염소, 라야, 주문, 할아버지, 마법, 양탄자"
189046,신비아파트 극장판 하늘도깨비 대 요르문간드,8.53,전체 관람가,['애니메이션'],변영규,"['조현정', '양정화', '김영은', '김채하']","겨울방학을 맞아 가족여행을 떠난 ‘하리’와 ‘두리’ 남매는비행기 날개에 쓰러진 하늘도깨비 ‘주비’를 발견하고 ‘신비’와 ‘금비’를 소환한다.‘주비’를 구해준 순간, 정체를 알 수 없는 ‘스큐트’들의 공격이 시작되고,깊은 바닷속 관에서 부활한 전설의 괴수 ‘요르문간드’는 비행기를 집어 삼키려 한다.한편 창공의 퇴마사로 선택된 ‘강림’이 친구들을 구하기 위해 합류하지만세상을 파괴하려는 ‘요르문간드’는 하늘도깨비들의 왕국까지 거세게 공격하고‘하리’와 친구들의 피할 수 없는 하늘 위 모험이 시작되는데...",겨울방학 가족 여행 남매 비행기 날개 하늘 도깨비 발견 소환 순간 정체 공격 시작 부활 전설 괴수 비행기 창공 퇴마사 선택 친구 위해 합류 만세 파괴 하늘 도깨비 왕국 거세 공격 친구 하늘 모험 시작,"날개, 퇴마사, 거세, 만세, 겨울방학, 창공, 공격, 비행기, 도깨비, 하늘"
178668,신영웅문 : 천년의 비밀,2.33,15세 관람가,"['액션', '서스펜스', '멜로/로맨스']",여가경,"['정이건', '우영광', '사천화', '자칭']","동한말 삼국 시기, 좌자는 상극을 이루는 신기 살신기와 섬신기를 만들었으니 두 신기를 합치면 불사의 몸이 될 수 있었다.하지만 누군가 살신기를 훔쳐갔고 그로 인해 영웅문파는 섬신기를 봉인해야 했다.좌자의 후손만이 봉인을 풀 수 있어 좌자의 후손을 지키기 위해 비밀조직(영웅문)이 탄생한다. 그로부터 천년이 지난 지금.뤄원(정이건)은 부모님에 대한 기억이 없는 고아지만 부모님의 흔적을 따라 도착한 도시, 톈두에서 아내와 함께 자리를 잡는다.그런 뤄원 앞에 사실은 뤄원이 먼 옛날 신기를 제작한 도사 좌자의 후손으로 군주가 될 운명을 타고났다고 주장하는 집단, 영웅문이 나타나면서 두 신기를 손에 넣기 위해 악의 집단과 뤄원과의 대결이 시작된다. 점점 영웅문에 대한 천년동안의 비밀이 밝혀지기 시작하는데…",삼국 시기 상극 신기 신기 신기 신기 합치 불사 누군가 신기 그로 신기 봉인 후손 봉인 후손 위해 탄생 그로 지난 지금 부모님 기억 고아 부모님 흔적 도착 도시 아내 자리 사실 옛날 신기 제작 도사 후손 군주 운명 주장 집단 신기 넣기 위해 악의 집단 대결 시작 점점 천년 동안 비밀 시작,"도사, 군주, 삼국, 상극, 부모님, 그로, 집단, 봉인, 후손, 신기"
179159,신의 한 수: 귀수편,7.78,15세 관람가,"['범죄', '액션']",리건,"['권상우', '김희원', '김성균']",바둑으로 모든 것을 잃은 아이 ‘귀수’유일하게 기대던 스승 허일도마저 잃고 홀로 살아남아세상을 향한 복수를 계획한다.운명의 선택은 神의 놀음판에 있다!자신을 사지로 내몬 냉혹한 내기바둑판으로 뛰어든 귀수(권상우)는전국을 돌아다니며 귀신 같이 바둑을 두는 자들과 대결을 펼치는데…사활을 건 대결!신의 한 수를 다시 두시겠습니까?,바둑 모든 아이 스승 홀로 세상 복수 계획 운명 선택 자신 사지 내몬 바둑판 전국 바둑 대결 사활 대결 다시,"홀로, 복수, 선택, 전국, 스승, 사지, 사활, 내몬, 대결, 바둑"
163632,실화: 숨겨진 비밀,4.97,15세 관람가,"['스릴러', '드라마', '미스터리']",로만 폴란스키,"['엠마누엘 자이그너', '에바 그린']",지칠 대로 지쳐버린 베스트셀러 작가 ‘델핀’은 자신의 팬 사인회에서 의문의 여성 ‘L’을 만난다.아름답고 매혹적이며 똑똑하지만 어딘가 미스테리한 분위기의 L. 델핀은 모든 것이 피곤한 와중에도L과의 대화는 이상하리만큼 즐겁게 느껴진다. L은 팬에서 친구로 가까워지며 델핀의 집에서 함께 지내게 되지만시간이 지날수록 델핀은 자신에게 점점 더 깊이 관여하는 L에게 부담을 느끼게 된다.그녀가 의도적으로 자신의 삶에 침투한 것이라 확신한 델핀은 L을 소재로 소설을 쓰기로 결심한다.델핀의 속내를 아는 듯 모르는 듯 L의 태도는 점점 더 가학적으로 변해가는데…,대로 베스트셀러 작가 자신 사인회 의문 여성 매혹 어딘가 미스테리 분위기 모든 와중 대화 친구 시간 자신 점점 깊이 관여 부담 의도 자신 침투 확신 소재 소설 쓰기 결심 태도 점점 학적,"매혹, 침투, 소재, 학적, 자신, 점점, 관여, 부담, 미스테리, 사인회"
164690,심장소리,5.6,청소년 관람불가,"['드라마', '판타지', 'SF']",스티비 크루즈-마틴,"['다니엘 몽크스', '시안 유어스', '스콧 리', '이사로 케이테시', '제이미 파슬리']",게이인 올리는 자유롭게 몸을 움직이기 어려운 장애가 있다.가장 친한 남녀 친구가 서로 사랑하는 사이가 되자 상심한다.척추 수술을 받기 위해 입원한 후 성전환 수술도 함께하기로 결심한 올리.여자가 되고 처음으로 그의 심장이 뛰기 시작한다!,게이 장애 가장 남녀 친구 서로 사랑 사이 척추 수술 위해 입원 성전환 수술 결심 여자 처음 심장 시작,"결심, 처음, 남녀, 심장, 장애, 입원, 게이, 척추, 성전환, 수술"
162878,심판,8.98,15세 관람가,"['드라마', '범죄']",파티 아킨,['다이앤 크루거'],"의문의 폭발 테러로 하루아침에 남편과 아들을 잃은 카티아.견딜 수 없는 고통에도 사건의 진실을 밝히고자 법정에 증인으로 나선다.하지만 끝이 보이지 않는 법정 싸움은 결국, 그녀에게 마지막 선택을 하게 만드는데…",의문 폭발 테러 하루아침 남편 고통 사건 진실 법정 증인 보이지 법정 싸움 마지막 선택,"진실, 선택, 싸움, 폭발, 테러, 고통, 보이지, 하루아침, 증인, 법정"
152624,썬키스 패밀리,5.84,15세 관람가,"['가족', '코미디', '멜로/로맨스']",김지혜,"['박희순', '진경', '황우슬혜', '이고은', '장성범', '보라', '정상훈']","Chapter1. 예상 밖의 삐그덕결혼 20년 차에도 식을 줄 모르는 사랑을 나누는 뜨거운 부부 준호(박희순)와 유미(진경), 그러나 이들의 두 자녀아들 철원(장성범)과 딸 경주(윤보라)는 성인이 되었지만 뜻밖의 신체적 문제로 사랑을 하는 것이 세상 어렵다.Chapter2. 삐그덕 쿵이 멈췄다!늦둥이 막내딸 진해(이고은)에게는 매일 밤 부모의 침실에서 들려오는 소리 ‘삐그덕 쿵’이 ‘가족의 행복전선 이상무’를 알리는 신호였다.그러던 어느 날, 옆집에 아빠의 친구라는 예쁜 아줌마 미희(황우슬혜)가 이사를 오고 엄마의 불 같은 오해(!)가 시작되는데. 그날 밤부터 ‘삐그덕 쿵’ 소리가 멈추고 가족의 행복발전소 가동이 멈췄다!매일 사랑하고 영원히 사랑하고 싶었던 ‘로맨틱 가족’에게 닥친 최대의 위기!가족의 행복을 찾기 위한 막내딸 진해의 대단한 작전이 시작된다!",예상 결혼 사랑 부부 자녀 아들 뜻밖 신체 문제 사랑 세상 늦둥이 막내딸 매일 부모 침실 소리 가족 행복 전선 이상무 신호 옆집 아빠 친구 아줌마 이사 오해 시작 그날 소리 가족 행복 발전소 가동 매일 사랑 사랑 로맨틱 가족 최대 위기 가족 행복 찾기 막내딸 작전 시작,"발전소, 전선, 침실, 늦둥이, 매일, 소리, 사랑, 가족, 행복, 막내딸"
183491,쎈놈,8.22,청소년 관람불가,['액션'],김유진,"['김도건', '윤경호', '왕경빈', '서승현']",10대들만의 불법 격투 도박장 ‘아레나’의 랭킹 1위 ‘동호’는 체대 진학을 위해 은퇴를 결심한다.하지만 ‘아레나’ 일원들은 큰 수입원인 ‘동호’를 놓치고 싶지 않다는 생각에 ‘동호’의 동생 ‘동민’을 도박장에 끌어들여 빚을 지게 만든다.빚에 떠밀려 어쩔 수 없이 격투에 참가했다가 크게 다친 ‘동민’. 그 모습을 보고 분노한 ‘동호’는 복수의 주먹을 빼든다.,불법 격투 랭킹 진학 위해 은퇴 결심 일원 수입 원인 생각 동생 지게 격투 참가 크게 보고 복수 주먹,"불법, 은퇴, 진학, 크게, 지게, 주먹, 일원, 수입, 랭킹, 격투"
184403,쓰리 세컨즈,9.08,12세 관람가,['드라마'],안톤 메게르디체브,"['블라디미르 마쉬코프', '키릴 자이체프', '이반 코레스니코프']","1972년 뮌헨 올림픽 남자 농구 결승전. 36년간 우승을 차지한 최강자 미국을 반드시 꺾어야만 하는 소련 농구 대표팀은 한 치의 양보도 없는 불꽃 튀는 접전을 펼친다.예측 불가능한 결과에 숨막히는 긴장감이 이어지는 가운데, 소련의 타임아웃 요청을 듣지 못한 심판의 실수로 경기는 미국의 우승으로 종료된다.이에 소련 농구 대표팀은 격렬히 항의하고, 자신의 과오를 인정한 심판은 남은 시간을 3초를 선언하며 사상 유례 없는 재승부가 시작되는데...",뮌헨 올림픽 남자 농구 결승전 우승 차지 최강 미국 반드시 치의 양보 불꽃 접전 예측 결과 긴장감 가운데 소련 타임 아웃 요청 실수 경기 미국 우승 종료 항의 자신 과오 인정 시간 선언 사상 유례 승부 시작,"유례, 농구, 항의, 아웃, 소련, 양보, 치의, 과오, 미국, 우승"
159115,"아나, 내사랑",6.0,청소년 관람불가,"['드라마', '멜로/로맨스']",칼린 피터 네처,"['다이아나 카발리오티', '미르세야 포스텔니쿠']",대학생 아나와 토마는 첫눈에 사랑에 빠지고뜨거운 격정으로 서로를 탐닉한다.부모의 반대와 정신적 문제에도서로에게 더 깊이 들어가고 미친 듯이 중독되는데…지독한 격정에 빠져든다!,사랑 격정 서로 부모 반대 정신 문제 서로 깊이 듯이 중독 격정,"사랑, 문제, 정신, 반대, 중독, 부모, 듯이, 깊이, 서로, 격정"
188548,아내 빌려주는 남자,0.0,청소년 관람불가,['멜로/로맨스'],나가에 타카미,['야마모토 미와코'],"결혼 10년차, 완전히 섹스리스가 되어버린 부부. 남편은 자극을 추구하는 아내를 다른 남자에게 안겨주고 싶다는 욕망을 가지고 출장 호스트를 부르고, 처음엔 거부하던 아내였지만 호스트의 농후한 스킬에 섹스 돌입하기도 전에 이미 몸도 마음도 녹아내려 버린다",결혼 섹스 리스 부부 자극 추구 다른 욕망 가지 출장 처음 거부 농후 스킬 섹스 돌입 마음,"거부, 욕망, 출장, 자극, 돌입, 리스, 스킬, 추구, 섹스, 농후"
181584,아내를 죽였다,5.11,15세 관람가,"['스릴러', '액션']",김하라,"['이시언', '안내상', '왕지혜']","친구와 술을 마신 후 곯아떨어진 ‘정호’는 숙취로 눈을 뜬 다음 날 아침, 별거 중이던 아내 ‘미영’이 살해당했다는 충격적인 소식을 듣게 된다.그 순간, 자신의 옷에 묻은 핏자국과 피 묻은 칼을 발견한 ‘정호’.가장 강력한 용의자로 지목된 그는 경찰의 눈을 피해 도망친다.알리바이를 입증하고 싶지만 간밤의 기억은 모두 사라진 상태. 스스로를 믿을 수 없는 최악의 상황에서 ‘정호’는 어젯밤의 행적을 따라가기 시작하는데… 끊어진 기억과 기억 사이, 사라진 모든 것을 의심하라.",친구 숙취 다음 아침 별거 아내 살해 충격 소식 순간 자신 핏자국 발견 가장 용의자 지목 피해 알리바이 입증 간밤 기억 모두 상태 스스로 최악 상황 어젯밤 행적 시작 기억 기억 사이 모든 의심,"지목, 행적, 입증, 별거, 어젯밤, 알리바이, 숙취, 핏자국, 간밤, 기억"
190352,아내와 내 친구들,6.0,청소년 관람불가,['멜로/로맨스'],최재후,"['조완진', '민정', '지아', '상우']","명호는 헬스장에서 함께 어울려 운동하는 친구 영석과 동수가 있다. 명호의 아내인 향이, 그리고 이혼녀인 수희도 이 헬스장에 함께 다닌다. 평소에 운동하고 있는 수희의 모습을 유심히 관찰하던 명호는 운동을 도와준다는 핑계로 그녀에가 다가간다. 한편, 영석과 동수는 명호의 아내인 향이의 몸매를 훔쳐보며 그녀에게 흑심을 품기 시작하는데...",운동 친구 아내 이혼 평소 운동 유심 관찰 운동 핑계 아내 몸매 흑심 시작,"시작, 친구, 이혼, 평소, 핑계, 몸매, 관찰, 흑심, 아내, 운동"
189070,아내의여동생,10.0,청소년 관람불가,['멜로/로맨스'],최성길,[],"남편 준영의 사업 실패로 집까지 잃은 새봄부부. 지인이나 친척 집에는 빚쟁이들이 찾아 올게 뻔한 새봄은 대학 선배인 경미를 찾아간다. 사정을 듣고 지내게 해주는 경미와 강일 부부. 어느 정도 안정을 찾자 그 동안 참아왔던 성욕이 다시금 고개를 내미는 새봄. 하지만 돈을 구하러 종일 돌아다니느라 지친 몸과 쫓기는 스트레스 때문에 준영의 물건은 발기 조차 하지 않는다.새봄의 욕구가 점점 쌓여갈 즈음, 아버지가 다치 셔서 시골로 내려가게 된 경미. 그리고 며칠 후, 준영 또한 빚쟁이를 피해 돈을 벌기 위하여 외국으로 떠나는데…집에는 새봄과 경미 남편 강일 둘만 남게되는데 과연, 둘은 아무일 없이 잘 지낼 수 있을까?",남편 사업 실패 지인 친척 빚쟁이 선배 사정 부부 안정 동안 성욕 다시금 고개 종일 스트레스 물건 발기 조차 욕구 점점 즈음 며칠 또한 빚쟁이 피해 남편 과연,"안정, 조차, 다시금, 친척, 즈음, 발기, 고개, 종일, 남편, 빚쟁이"
183275,아녜스가 말하는 바르다,8.84,12세 관람가,['다큐멘터리'],아녜스 바르다,"['아녜스 바르다', '상드린 보네르']",지난 65년 동안 연출했던 작품을 통해 그녀의 영화 속에서 살아 숨쉬는 모든 것들과 함께 웃으며 행복해했던 관객들에게 사랑과 기쁨을 전한다!,지난 동안 연출 작품 통해 영화 모든 관객 사랑 기쁨,"사랑, 모든, 통해, 영화, 동안, 작품, 지난, 기쁨, 관객, 연출"
184357,아담스 패밀리,7.85,전체 관람가,"['애니메이션', '코미디', '가족']",그렉 티어난,"['샤를리즈 테론', '클로이 모레츠', '오스카 아이삭', '핀 울프하드']","언제나 쿨한 괴짜 엄마 ‘모티시아’부터사고치는 아이들이 자랑스러운 아빠 ‘고메즈’,부모님이 모르는 많은 걸 가진 소녀 ‘웬즈데이’,폭발물 실험이 취미인 막내 ‘퍽슬리’까지!평범치 않은 ‘아담스 패밀리’가 평범한 동네에 나타났다.지금껏 본 적 없는 가족의 등장에 마을 사람들은‘아담스 패밀리’를 괴물로 몰아가기 시작하는데…",괴짜 부터 고치 아이 부모님 소녀 폭발물 실험 취미 막내 평범 지금껏 가족 등장 마을 사람 괴물 시작,"부모님, 부터, 실험, 막내, 취미, 지금껏, 괴짜, 평범, 폭발물, 고치"
