번호,제목,평점,관람 등급,장르,감독,출연진,줄거리,processed_text,키워드
130972,에브리바디 원츠 썸!!,7.38,청소년 관람불가,['코미디'],리처드 링클레이터,"['블레이크 제너', '조이 도이치', '글렌 포웰', '라이언 구즈먼', '테일러 후츨린']","고등학교를 졸업하고 야구부 숙소로 이사를 온 킹카 신입생 ‘제이크’. 전국 최고의 야구팀으로 구성된 룸메이트들과 인사를 마치고어색함을 느낄 새도 없이 길거리에 넘쳐 흐르는 쭉빵 걸들 작업으로 눈코 뜰 새 없다.코치가 단단히 이른 1. 주류 반입 금지 2. 숙소에 여자를 들이지 않는다는 규칙이 무색하게입에는 언제나 맥주, 여자 얘기 98% 야구 얘기 2%의 수다와 함께매일 밤 신나는 파티를 벌이는데…개강 전까지 3일 15시간! 미친듯이 즐겨볼까?",졸업 야구 이사 신입생 전국 최고 야구 구성 룸메이트 인사 마치 쭉빵 작업 눈코 주류 반입 금지 숙소 여자 규칙 무색 맥주 여자 얘기 야구 얘기 수다 매일 파티 개강,"수다, 여자, 반입, 무색, 숙소, 눈코, 쭉빵, 개강, 얘기, 야구"
145147,에스트라파드 거리,0.0,15세 관람가,"['코미디', '드라마']",자크 베케르,"['다니엘 겔린', '루이 주르당', '안네 베르농']","프랑수아즈는 친구 드니스와 함께 고급 부티크를 돌아다닌다. 그런데 프랑수아즈는 사랑하는 남편 앙리에게 애인이 있다는 것을 알게 된다. 화가 난 프랑수아즈는 집을 나와 보헤미안 예술가들이 모여 사는 에스트라파드 거리에 방을 구한다. 앙리는 아내를 되찾고 싶어 하지만, 프랑수아즈는 더 이상 남편을 믿지 못하고, 더구나 그녀는 가난한 음악가에게 마음이 흔들린다. <앙투안과 아투아네트> <에두아르와 카롤린>에 이어 파리의 젊은 커플들의 이야기를 다룬 세 번째 작품이다.",친구 고급 부티크 사랑 남편 애인 화가 보헤미안 예술가 구한 아내 이상 남편 더구나 음악가 마음 안과 네트 에두 아르 카롤린 커플 이야기 작품,"고급, 음악가, 보헤미안, 남편, 안과, 네트, 에두, 아르, 카롤린, 더구나"
140768,에스파트너,7.33,청소년 관람불가,"['멜로/로맨스', '코미디']",황백기,"['유심유', '주백호', '장사민', '강호문']","젊은 부부이지만 결혼한지 1년이 지나도 아이가 생기지 않아불안해 하는 아내와, 이같은 이유 때문에 밤생활의 문제까지 생긴 남편.일중독인 연애 기획사 부인을 둔 노년의 남편이 그녀와의생활 불만으로 다른 여성과 연애를 하는 삶.이 두 부부들의 이야기를 자연스럽게 풀어낸 이야기.",부부 결혼 한지 아이 생기지 이유 생활 문제 일중독 생활 불만 다른 연애 부부 이야기 자연 이야기,"이유, 문제, 연애, 자연, 불만, 이야기, 한지, 생기지, 생활, 부부"
127424,에이지 오브 투모로우,3.65,15세 관람가,"['액션', 'SF', '스릴러']",제임스 콘델릭,"['켈리 후', '안소니 마크스']",지구와 충돌 궤도에 있는 행성을 폭파시키기 위해 최정예 조종사들과 물리학 박사가 우주선을 타고 날아간다. 행성에서 폭탄 설치 작업을 하던 중 외계인의 세상으로 통하는 순간 이동 장치를 발견하게 되고 외계인들의 지구 침공 계략도 알게 된다. 인간을 잡아가 그들 여왕의 먹이로 삼는 끔찍한 광경을 목격하자 대원들은 최대한 많은 인질들을 구해 행성을 탈출할 계획을 세운다. 한편 지구에선 외계 우주선의 공습이 시작되고 세상은 점점 불바다로 변해간다. 아름다운 지구를 지키기 위해 평범했던 인간들이 영웅적인 용기를 발휘해 외계인에 맞서는데...,충돌 궤도 폭파 위해 정예 조종사 우주선 타고 폭탄 설치 작업 외계인 세상 순간 이동 장치 발견 외계인 침공 계략 인간 먹이 광경 목격 대원 최대한 인질 구해 탈출 계획 외계 우주선 공습 시작 세상 점점 바다로 간다 위해 영웅 용기 발휘 외계인,"조종사, 폭파, 광경, 장치, 바다로, 공습, 궤도, 최대한, 우주선, 외계인"
152128,에이컵 친구 아내-남편 오기 전에,0.0,청소년 관람불가,['에로'],카츠라기 히로후미,"['요시다 하나', '미치코 세레나데']","잠자리를 피하는 남편 마사키, 알고 보니 바람을 피우고 있었다. 우연히 마주친 남편의 친구 이마이가 아내인 사토미에게 관심을 보이게 되고, 강제로 하룻밤을 보낸다. 이 사실을 안 남편은 아내의 소중함을 깨닫고 주위의 여자를 정리하지만…",잠자리 피하 바람 친구 아내 관심 보이 강제 하룻밤 사실 주위 여자 정리,"아내, 관심, 하룻밤, 바람, 보이, 강제, 잠자리, 정리, 주위, 피하"
154316,에조: 인류 최후의 전쟁,5.67,청소년 관람불가,"['액션', 'SF']",스벤 크누펠,['짐 워커'],"지구 종말 이후, 마지막 남은 인류는면역 도시에서 카마쿠라 신을 믿으며 살아간다.하지만 생존을 위협하는 자이언트 몬스터와 좀비 군단 칼리반에게 쫓기게 되고…인류가 살아남는 법은 단 한 가지, 맞서 싸우는 것뿐!",종말 이후 마지막 인류 면역 도시 카마쿠라 생존 위협 자이언트 몬스터 좀비 군단 칼리 가지,"도시, 인류, 생존, 좀비, 종말, 몬스터, 군단, 면역, 칼리, 카마쿠라"
152588,엑소시즘:로스트테이프 ,6.0,청소년 관람불가,['공포'],폴 카타라노토,"['리사 맥켈 스미스', '샘 코빈', '도노반 젝슨']","도끼로 연쇄 살인을 한 17세 소년 제시 가 사형선고를 받게 된다. 그의 어머니 케이트 는 아들은 악령이 씌어서 살인을 했다며 아들의 무죄를 주장한다. 이를 증명하기 위해 TV 다큐멘터리 팀과 정신과 의사팀을 초대한다. 케이트 는 악령을 소환하는 주문을 통해 자기몸속에 들어가게 하고, 주변사람들을 죽이기 시작한다. 목사를 불러 악령을 없애려 하지만..오히려 목사를 죽이게 된다.이 모든과정 들이 녹화가 되고 있는데..",도끼 연쇄 살인 소년 사형선고 어머니 아들 악령 씌어 살인 아들 무죄 주장 증명 위해 초대 악령 소환 주문 통해 자기 몸속 주변 사람 시작 악령 과정 녹화,"무죄, 주문, 증명, 녹화, 사형선고, 아들, 씌어, 도끼, 살인, 악령"
119430,엑스맨: 아포칼립스,8.2,12세 관람가,"['액션', '모험', '판타지', 'SF']",브라이언 싱어,"['제임스 맥어보이', '마이클 패스벤더', '제니퍼 로렌스', '오스카 아이삭', '니콜라스 홀트']","“강한 자만이 살아남을 것이다” 아포칼립스고대부터 신으로 숭배 받아왔던 최초의 돌연변이 아포칼립스가수천 년간 무덤에 잠들어 있다가 1983년 이집트에서 깨어난다.타락한 문명에 분노한 아포칼립스는 절망에 잠긴 매그니토를 비롯하여,스톰, 사일록, 아크엔젤에게 보다 강력한 힘을 주며 자신의 수하 ‘포 호스맨’으로 삼는다.그리고 인류를 멸망시키고 새로운 세상을 건설하여 강한 자들만의 세상을 만들려고 한다.   “지켜야 한다” 엑스맨 한편, 프로페서 X는 어린 돌연변이들을 위한 영재학교를 설립해인간과의 평화로운 공존과 희망을 찾을 수 있도록 가르친다.아직은 스스로 능력을 통제하지 못하는 진 그레이를 통해아포칼립스가 초래한 인류의 멸망을 예견하게 된 프로페서 X는 미스틱과 함께 젊은 돌연변이들로 이뤄진 엑스맨을 결성한다.아포칼립스를 막기 위해 사상 최대의 전쟁에 나서게 된 그들.도저히 막을 수 없는 적과 싸워야만 하는데… 인류의 운명을 건 마지막 전쟁! 당신의 엑스맨은 지금부터 시작이다!",자만 숭배 최초 돌연변이 무덤 문명 절망 비롯 자신 수하 호스 인류 멸망 세상 건설 세상 엑스맨 돌연변이 설립 인간 공존 희망 스스로 능력 통제 통해 아포칼립스 초래 인류 멸망 예견 돌연변이 엑스맨 결성 위해 사상 최대 전쟁 도저히 인류 운명 마지막 전쟁 당신 지금 시작,"수하, 초래, 전쟁, 예견, 아포칼립스, 호스, 멸망, 인류, 엑스맨, 돌연변이"
155506,엔트의 숲,5.67,청소년 관람불가,"['공포', '판타지', '미스터리', '스릴러']",리빙스톤 오딘,['알만 하비보치'],"주인공 제임스 에릭슨은 평생 자신을 한 번도 가까이하지 않은 어머니의 죽음 앞에 심란하기만 하다.유일한 혈육인 그는 어머니의 유품 등 뒷정리를 하러 어머니의 고향으로 떠난다.그녀가 남긴 물건은 마을 창고에 보관 중인 상자 하나뿐이다.제임스는 허탈함과 의문으로 가득한 마음으로 상자를 열어보는데, 안에는 온통 에릭슨 家 사유지 안에서 일어난 사건 사고에 관한 단서뿐이다.읽으면 읽을수록 해결되지 않은 사건의 미궁 속으로 빠지고 의문점만 불어나는데...자신을 버렸다고 생각한 엄마가 사실은 알 수 없는 미지의 존재로부터 아들을 지키려고 했던 것임을 알게 된다.400년 묵은 원주민과 그녀의 남편이자 숲의 괴물을 상대로 길고 긴 세월 동안 저주받았다는 평을 들어야만 했던 에릭슨 家 사유지의 오명을 씻고자 하는 제임스.어머니의 유품이 바로 자신이 유일하게 그 괴물을 없앨 수 있는 존재라고 믿고 이 오랜 저주를 끝내 버리지만, 그건 새로운 저주의 시작이란 걸 그는 알지 못한다.",주인공 평생 자신 가까이 죽음 혈육 유품 뒷정리 물건 보관 중인 상자 하나 제임스 의문 마음 상자 온통 사건 사고 단서 해결 사건 미궁 의문 자신 생각 사실 미지 존재 로부터 것임 원주민 남편 이자 괴물 상대로 세월 동안 오명 제임스 유품 바로 자신 괴물 존재 저주 끝내 저주 시작,"혈육, 오명, 존재, 뒷정리, 의문, 괴물, 저주, 상자, 유품, 제임스"
148468,엔티티: 죽음의 웹사이트,3.92,청소년 관람불가,"['공포', '미스터리']",에두와르도 슐츠,"['로드리고 팔라', '다니엘라 멘도자']","“백 개가 넘는 동영상에 똑같은 실체가 나타났다”“이 동영상들은 전세계에서 암암리에 가장 무서운 전설이 되었다”영상 수업 과제를 위해 모인 4명의 친구들은무서운 영상을 보고 놀라는 모습을 담은 ‘리액션 비디오’를 찍기로 한다.그러던 어느 날, 자료조사를 하던 중 한 인터넷 웹사이트에서사람들이 의문사를 당하는 동영상을 발견하게 되고,그 영상의 비밀을 파헤치는 동안,4명의 친구들에게 무서운 일들이 벌어지기 시작하는데…!",동영상 실체 동영상 전세계 암암리 가장 전설 영상 수업 과제 위해 명의 친구 영상 보고 리액션 비디오 찍기 자료 조사 의문사 동영상 발견 영상 비밀 동안 명의 시작,"전세계, 수업, 비디오, 자료, 찍기, 과제, 의문사, 명의, 영상, 동영상"
94765,엘 꼰도르 빠사,8.37,전체 관람가,['드라마'],송재용,"['강예원', '가우사이 밴드']","인적이 드문 시골 국도변의 어느 한 휴게소. 그곳엔 세상과 섞이지 않는 수하(강예원), 그녀의 유일한 혈육인 조카 소정, 요리솜씨가 꽝인 조리사 박씨, 희망도 의욕도 없는 이 시대의 청춘 상근이 있다.무료한 하루 하루를 보내던 어느 날, 지구의 반 바퀴나 돌아 한국에 온 대책 없을 정도로 긍정적이고 매일 매일 음악만 하는 이방인 남미 밴드‘가우사이’가 찾아온다.그들이 온 후 도무지 희망이라 곤 보이지 않던 이 곳에 조그만 기적이 하나 하나 일어나기 시작하는데…",인적 시골 세상 혈육 조카 요리 솜씨 희망 의욕 시대 상근이 무료 하루 하루 지구 바퀴 대책 긍정 매일 매일 음악 이방인 도무지 희망이 보이지 조그만 기적 하나 하나 시작,"긍정, 이방인, 조그만, 하나, 바퀴, 솜씨, 혈육, 상근이, 매일, 하루"
89756,엘비스와 대통령,6.44,12세 관람가,['코미디'],리자 존슨,"['마이클 섀넌', '케빈 스페이시']","“비밀 요원 시켜줘!” _ ‘엘비스 프레슬리(마이클 섀넌)’ 현실:  미국 FBI 정보국 요원 지망생스펙:  온 몸에 총을 숨기는 치밀함, 영화 배우로서의 분장술, 약쟁이 스타들과의 인맥, 가라테/권법/태권도 유단자.“딴따라 주제에 감히?!” _ ‘리처드 닉슨(케빈 스페이시)’ 현실:  딸의 전화 한 통에 벌벌 떠는 딸바보스펙:  손에 꼭 쥔 녹음기, 깐깐력 100만점, 고구마 100개 먹은 듯한 답답함, 남의 말은 모두 무시.FBI 배지를 갖고 싶은 로큰롤 황제 ‘엘비스’, 이를 철벽 사수해야 하는 꼰대 대통령 ‘닉슨’역대급 똘끼들의 역사적 만남이 시작된다!",비밀 요원 현실 미국 정보 요원 지망 스펙 영화 배우 로서 분장 스타 인맥 가라테 권법 태권도 유단자 주제 감히 현실 전화 벌벌 딸바보 스펙 녹음기 깐깐력 고구마 모두 무시 배지 로큰롤 황제 엘비스 철벽 사수 꼰대 대통령 역대 똘끼 역사 만남 시작,"꼰대, 딸바보, 깐깐력, 고구마, 엘비스, 철벽, 권법, 현실, 요원, 스펙"
155095,엠티의 목적,4.0,청소년 관람불가,"['드라마', '코미디']",금마성,"['송은', '서한']","과커플인 민희와 민수, 그리고 동현과 아영은 엠티 전날에 같이 술을 마신다.먼저 취해 버린 민희를 모텔에 재우는데, 평소 민수를 흠모했던 아영이 민희 대신에 민수를 유혹한다.서로 비밀을 지키기로 하지만 둘의 관계는 곧 민희에게 들키고..도발적인 아영은 좀 더 과감하게 엠티장소인 펜션에서도 애인인 동현 몰래민수를 유혹하는데..",커플 전날 먼저 취해 평소 흠모 대신 유혹 서로 비밀 관계 도발 과감 장소 애인 몰래 유혹,"커플, 먼저, 평소, 장소, 취해, 도발, 과감, 전날, 흠모, 유혹"
146515,여기는 파리,0.0,12세 관람가,['코미디'],에른스트 루비치,"['몬트 블루', '팟시 루스 밀러']","폴과 수자나 부부는 조용한 마을에서 행복하게 살고 있다. 그러던 중 화려한 댄서들이 이사를 오고, 그런 그들이 못마땅한 수자나는 폴에게 불평을 해댄다. 결국 폴은 새 이웃을 찾아가는데, 뜻밖에 그를 맞은 사람은 옛 사랑 조르제트였다. 둘은 반갑게 인사를 나누고 헤어지는데, 폴은 조르제트에 대한 이야기를 숨긴다. 얼마 후, 폴은 아내 몰래 조르제트와 만나기로 한다. 오페레타 ‘박쥐(Die Fledermaus)’의 원작이기도 한 프랑스 희극 ‘한밤의 축제(Le Reveillon)’를 바탕으로 했다.",부부 댄서 이사 불평 이웃 사람 사랑 인사 이야기 얼마 아내 몰래 오페레타 박쥐 원작 프랑스 희극 한밤 축제 바탕,"축제, 바탕, 프랑스, 원작, 한밤, 댄서, 불평, 박쥐, 희극, 오페레타"
155515,여대생들의 남자사냥 ,0.0,청소년 관람불가,['멜로/로맨스'],카츠야마 시게오,['테츠카 미사'],"여름방학을 맞아 친구들과 처음이자 마지막으로 해외여행을 계획한 히토미. 하지만 함께하기로 한 친구중 후미코가 미팅에서 만난 남자와 따로 여행을 계획해 해외여행은 물거품이 되고, 남겨진 그녀들은 계획을 변경해 남자를 헌팅해 뜨거운 여름을 갖기로 한다. 이내 헌팅에 성공하게 된 그녀들. 장소를 불문하고 이어지는 그들의 섹스. 하지만 즐거움도 잠시, 히토미는 배란기가 온 것도 잊은체 섹스를 즐겼다는 사실을 깨우친다.",여름방학 친구 처음 이자 마지막 해외여행 계획 친구 미팅 만난 여행 계획 해외여행 거품 계획 변경 헌팅 여름 이내 헌팅 장소 불문 섹스 즐거움 잠시 배란기 섹스 사실,"즐거움, 미팅, 변경, 거품, 여름방학, 불문, 섹스, 계획, 헌팅, 해외여행"
147346,여대생의 새로운 경험,0.0,청소년 관람불가,"['드라마', '멜로/로맨스']",카츠야마 시게오,['미야우치 츠구미'],"카메라촬영이 취미인 대학생 아스카, 가끔 성욕을 풀고싶을때 찾아오는 고향 친구 마사히토와 정사를 나누며 잠시나마 위로를 받지만 언제나 외로움에 목말라 하던 그녀는 어느날 우연히 이웃 부부의 변태적인 성교 장면을 목격하게 되고, 그들의 모습을 촬영을 하며 이제껏 느껴보지못한 행복감을 느끼게 된다.",카메라 촬영 취미 가끔 성욕 고향 친구 정사 잠시 위로 외로움 목말 이웃 부부 변태 성교 장면 목격 촬영 이제껏 행복감,"외로움, 성욕, 장면, 취미, 변태, 이제껏, 가끔, 성교, 행복감, 촬영"
135740,여름애(愛),7.4,청소년 관람불가,"['드라마', '멜로/로맨스', '코미디']",톰 소머라트,"['카린 한크제브스키', '고데하르트 기에세', '세바스티안 프라스도르프']","자유분방하고 욕심 없는 동생 마티와 아들 딸린 연상의 페미니스트 프랑스 애인 카미, 반듯하고 보수적이며 부를 추구하는 형 다비드와 현모양처 독일 부인 레나, 너무나 다른 두 커플이 프랑스 남부의 가족 별장에서 휴가를 함께 보내며, 이성과 본능, 사랑과 욕망, 위선과 진실 사이에서 위험한 줄타기를 하는데... 21세기적 사랑, 커플 관계의 진정성, 행복의 조건, 형제애 등의 의미를 되새겨 볼 수 있는 의미있는 영화 동생 마티는 부모님의 경제적 도움을 받아 무위도식하며 프랑스인 애인 카미 그리고 그녀의 아들 에티엔느와 함께 프랑스 남부의 가족 별장에서 평화롭게 살고 있다. 형 다비드와 그의 부인 레나는 임신 계획을 실현하기 위해 예정보다 일주일 앞당겨 동생 마티가 살고 있는 가족 별장에 휴가를 온다. 카미는 페미니스트이며 자유분방한 성격으로 보수적인 다비드와 사사건건 부딪히게 된다. 카미는 다비드의 보수성을 깨뜨리고 위선을 벗겨내기 위해 다비드를 유혹하고 마침내 두 사람은 친해진다. 동시에 다비드는 카미를 자신과 동생 마티를 파괴하려는 팜므 파탈(femme fatale)이라고 경계한다. 자신과 관계를 갖지 않는 남편에게 배신감을 느낀 레나는 마티를 유혹한다. 이 과정에서 다비드의 진실이 밝혀지고 자아에 눈 뜬 레나는 다비드를 남겨두고 홀로 독일로 돌아간다. 두 커플의 뒤바뀐 사랑은 휴가지에서 생긴 단순한 일탈인가? 이들 커플은 다시 제자리로 돌아 갈 것인가? 동생 마티와 형 다비드는 다시 관계를 회복할 수 있을 것인가?",욕심 아들 연상 페미니스트 프랑스 애인 보수 추구 현모양처 독일 부인 다른 커플 휴가 이성 본능 사랑 욕망 위선 진실 사이 줄타기 기적 사랑 커플 관계 진정 행복 조건 형제 의미 의미 영화 부모님 경제 도움 무위도식 프랑스인 애인 아들 부인 임신 계획 실현 위해 예정 일주일 동생 마티 휴가 페미니스트 성격 보수 사사건건 보수 위선 위해 유혹 마침내 사람 동시 자신 동생 파괴 팜므 파탈 경계 자신 관계 남편 배신 유혹 과정 진실 자아 홀로 커플 사랑 가지 커플 다시 제자리 다시 관계,"동생, 애인, 휴가, 부인, 의미, 관계, 페미니스트, 위선, 보수, 커플"
155770,여배우 섹스 스캔들 2,4.82,15세 관람가,"['멜로/로맨스', '드라마']",야마삐,"['소정', '희선', '지성', '훈']","상식이 깨진 연예계, 성접대를 하지 않으면 어떠한 작품도 따낼 수 없는 상황에서 정화는 인기를 위해 여러 스폰서들과의 관계를 가진다. 그러나 점점 자신의 방송 스케쥴은 취소되고, 성 접대 일정만 늘어나는 상황을 보면서 한숨을 내쉰다. 그러던 중, 자신을 동경하여 연예계에 진출한 유니를 만나게 되고… 정화는 유니에게 연예계에 살아 남기 위한 방법들을 알려준다.과연 그녀들은 연예계에서 살아남을 수 있을까?",상식 접대 작품 상황 인기 위해 스폰서 관계 점점 자신 방송 스케쥴 취소 접대 일정 상황 한숨 자신 동경 진출 방법 과연,"동경, 진출, 일정, 상식, 취소, 한숨, 상황, 스케쥴, 스폰서, 접대"
128968,여배우의 이중생활,6.4,청소년 관람불가,"['드라마', '멜로/로맨스']",재키 카투,"['오렐리 우그나데', '장 마리 게리', '데이비드 쇼세']",금지된 오디션 X 욕망의 사생활  파격적 노출 오디션에 도전하는 신인 여배우. 어렵게 배역을 따내지만  감당하기 힘들다. 남친과 헤어지고 원작자의 뒤를 밟으며 금지된 욕망의 세계로 들어간다. 배역과  같이 아슬아슬 농밀농밀한 이중생활에 빠지는데… 그녀의 은밀한 사생활이 공개된다!,금지 오디션 욕망 사생활 파격 노출 오디션 도전 신인 배역 감당 원작 자의 금지 욕망 세계 아슬아슬 농밀농밀 이중생활 은밀 사생활 공개,"원작, 신인, 이중생활, 배역, 아슬아슬, 농밀농밀, 욕망, 금지, 오디션, 사생활"
145306,여자의 무기 - 야쿠자의 여자,4.0,청소년 관람불가,"['에로', '드라마']",카이하라 크리스 료,['요시자와 아키호'],"야쿠자 류우지. 그의 아내로 사는 것에 염증을 느끼는 미사,어느 날 그녀가 운영하는 술집에 옛 선배 유카리가 찾아온다.그녀에 한눈에 빠진 류우지의 친구 사쿠…사실 사쿠는 경찰로, 먀약운반책의 뒤를 쫒다 발생한 사고의 현장에서 유카리와 마주친적이 있었다. 한편, 류우지는 조직의 형님인 콘도의 음모에 빠지게 되는데…류우지, 미사 그리고 사쿠와 유카리 이들을 둘러싸고 발생하는음모와 유혹…. 과연 야쿠자의 여자로서 미사의 앞날은….",아내 염증 운영 선배 한눈 친구 사실 경찰 운반 발생 사고 현장 조직 형님 음모 발생 음모 유혹 과연 여자 로서 앞날,"경찰, 선배, 로서, 한눈, 운반, 염증, 앞날, 형님, 발생, 음모"
143825,여자전쟁: 떠도는 눈,6.04,청소년 관람불가,"['드라마', '스릴러']",김동욱,"['김혜나', '조연우', '신현탁', '박정학']","창우는 결혼 기념일을 맞아 아내 은주와 둘만의 시간을 갖게 되고, 이날을 추억하고자 그녀와의 뜨거운 시간을 휴대폰 동영상으로 남긴다. 하지만 곧 창우는 그 휴대폰이 자신의 것이 아님을 알게 되고, 그땐 이미 핸드폰의 원래 주인이 클라우드 서버에 저장된 해당 동영상을 확인한 뒤다. 핸드폰의 주인은 이 동영상을 빌미로 아내 은주에게 위험천만한 뒷거래를 제안하는데..",결혼 기념일 아내 시간 추억 시간 휴대폰 동영상 휴대폰 자신 그땐 핸드폰 원래 주인 클라우드 서버 저장 해당 동영상 확인 핸드폰 주인 동영상 미로 아내 위험천만 거래 제안,"아내, 그땐, 저장, 기념일, 서버, 클라우드, 주인, 핸드폰, 휴대폰, 동영상"
143824,여자전쟁: 이사 온 남자,6.12,청소년 관람불가,['드라마'],송창수,"['임이지', '안석환']",소박하지만 행복한 삶을 누리고 있던 ‘민정’의 일상이 이사 온 옆집 남자로 인해 엉망이 된다. 그 남자는 바로 오래 전 악연으로 인해 기억 속에서 지우고만 싶었던 ‘덕만’이었기 때문. 그리고 덕만의 또 다른 목적을 눈치 챈 그녀. 이제 덕만을 향한 적극적 복수가 시작된다,누리 일상 이사 옆집 엉망 바로 악연 기억 다른 목적 눈치 이제 적극 복수 시작,"바로, 복수, 이사, 눈치, 옆집, 목적, 적극, 엉망, 악연, 누리"
153516,여직원들 : 직장연애사,5.95,청소년 관람불가,['멜로/로맨스'],명석환,['주예빈'],"막내 여직원과 점심시간마다 비밀 섹스 중인 남근 유부녀 과장님한테 섹스를 배우고 있는 김대리모든 여직원들에게 들이대는 이과장.이들은 업무만 시작하면 직업병인지 아랫도리가 심심하다.어느 날, 중국으로 파견 나갔던 최고의 섹시녀 희수가 돌아온다.그것도 한껏 농염해진 모습으로 말이다.아랫도리가 심심한 남자 직원들의 끈적하고도 음탕한 구애가 시작되는데...",막내 여직원 점심시간 비밀 섹스 중인 유부녀 과장 섹스 여직원 업무 시작 직업병 도리 파견 최고 섹시 그것 농염 해진 도리 구애 시작,"과장, 농염, 구애, 섹시, 점심시간, 섹스, 해진, 직업병, 여직원, 도리"
149481,연애담,7.52,청소년 관람불가,"['드라마', '멜로/로맨스']",이현주,"['이상희', '류아벨']","미술을 공부하는 윤주(이상희).졸업 전시를 준비하던 중 자꾸 눈길이 가는 한 사람을 만나게 된다.살짝 마주친 눈빛에서 느껴진 따뜻함에윤주는 점점 마음이 이끌리기 시작한다.아르바이트를 하며 꿈을 찾아가는 지수(류선영).추운 겨울 어느 날, 나를 따뜻하게 바라봐주는 한 사람을 만나게 된다.  얼마 후, 그 사람을 다시 만난 지수는 그 사람에게 마음을 이어나가려 손을 내밀어 본다. 두 사람의 마음이 이어진 가장 행복하고 따뜻했던 이 순간은 정말 영원할 수 있을까…",미술 공부 졸업 전시 준비 자꾸 눈길 사람 살짝 눈빛 점점 마음 리기 시작 아르바이트 겨울 사람 얼마 사람 다시 만난 사람 마음 사람 마음 이어진 가장 순간 정말,"겨울, 리기, 눈빛, 미술, 눈길, 이어진, 살짝, 전시, 마음, 사람"
125483,"연애의 발동 : 상해 여자, 부산 남자",4.96,12세 관람가,"['멜로/로맨스', '코미디']",김태균,"['지진희', '진의함', '진학동', '혜림']","신통하기로 유명한 점성가 황얼샨(진의함)은 한국에 있는 남동생인 이펑(진학동)이 궁합이 맞지 않는 재희(혜림)와 결혼을 발표하자 두 사람을 말리기 위해 한국으로 향한다. 한국으로 가던 중 우연히 재희의 아빠인 박준호(지진희)를 만나게 되고, 별자리 운세를 믿는 그녀는 이 결혼을 파탄내기 위해 준호와 동맹을 맺는데... 6월, 새로운 사랑이 찾아옵니다.",점성가 남동생 궁합 결혼 발표 사람 위해 아빠 별자리 운세 결혼 파탄 내기 위해 준호 동맹 사랑,"내기, 발표, 남동생, 동맹, 파탄, 궁합, 결혼, 운세, 별자리, 준호"
146193,연인과 독재자,8.66,12세 관람가,['다큐멘터리'],로스 아담,"['신상옥', '최은희']","1960년대 한국 영화계를 주름잡던 슈퍼스타 커플 영화감독 신상옥&톱스타 여배우 최은희.어느 날, 홍콩으로 여행 갔던 최은희가 소리소문 없이 사라지고얼마 후 최은희를 찾으러 홍콩으로 떠났던 신상옥 역시 행방이 묘연해진다.단숨에 세계 최고의 가십으로 떠오른 두 사람의 실종사건. 전 세계의 언론은 이 사건을 '세기의 납치 스캔들'로 일컬으며 수많은 루머를 양산해낸다.그리고 8년이 흐른 후 나타난 신상옥과 최은희.“우리는 홍콩에서 북한으로 납치 당했고, 목숨을 걸고 탈출했다.그리고 여기 북한에서의 8년 간의 기록이 담긴 ‘증거’가 있다.”그들이 내민 것은 김정일 국방위원장의 ‘육성’이 담겨 있는 녹음기.과연 8년 동안 그들에겐 무슨 일이 있었던 것일까?전 세계를 뒤흔든 세기의 납치 스캔들, 그 진실이 낱낱이 드러난다!",한국 영화계 주름 슈퍼스타 커플 영화감독 톱스타 여배우 여행 소리 소문 얼마 역시 행방 단숨 세계 최고 가십 사람 실종 사건 세계 언론 사건 세기 납치 스캔들 루머 양산 우리 납치 목숨 탈출 여기 간의 기록 증거 육성 녹음기 과연 동안 무슨 세계 세기 납치 스캔들 진실 낱낱이,"낱낱이, 녹음기, 영화계, 육성, 가십, 양산, 세계, 세기, 납치, 스캔들"
128273,엽기적인 그녀 2,2.79,15세 관람가,"['멜로/로맨스', '코미디']",조근식,"['차태현', '빅토리아']","운명인 줄만 알았던 긴 생머리의 ‘그녀’(전지현)가 돌연 비구니가 되어 사라진 후,실연+백수+돈, 3고에 시달리던 ‘견우’(차태현)그에게 어린 시절 첫사랑이자, 중국으로 떠났던 ‘그녀’(빅토리아)가 나타났다! 그것도 더 살벌해지고, 더 엽기적인 모습으로.“이래 가지고 나랑 어떻게 결혼할래?”오직 견우와의 결혼을 위해 산 넘고 물 건너온 대륙의 외동딸, ‘그녀’!“설마 결혼? 제가 잘못 들은 걸까요?”꿈인지 생시인지 들어온 복을 얼른 움켜쥐는 보통 남자, 견우’! 그러나, 밤은 더 살벌하고, 낮은 더 엽기적인데..예측불가! 새로운 ‘그녀’와 ‘견우’의 상상 못한 엽기적인 결혼!‘견우’의 인생수난 여기서 끝날 수 있을까?",운명 생머리 돌연 비구니 실연 백수 시절 첫사랑 이자 그것 엽기 가지 결혼 오직 결혼 위해 대륙 외동딸 설마 결혼 잘못 생시 얼른 보통 남자 엽기 예측 불가 상상 엽기 결혼 인생 수난 여기,"설마, 실연, 대륙, 생시, 얼른, 비구니, 생머리, 수난, 결혼, 엽기"
